#  This is a file for the AB reference system.
#  
#  
#  The columns are: wavelengths, flux reference.
#  With the following units:
#      Angstroms        ,   ergs/s/cm^2/Angstrom
1.000000000000000000e+03 , 1.088546414997999820e-07
1.001000000000000000e+03 , 1.086372583458499364e-07
1.002000000000000000e+03 , 1.084205257148377718e-07
1.003000000000000000e+03 , 1.082044410137483694e-07
1.004000000000000000e+03 , 1.079890016624735922e-07
1.005000000000000000e+03 , 1.077742050937352851e-07
1.006000000000000000e+03 , 1.075600487530087634e-07
1.007000000000000000e+03 , 1.073465300984468980e-07
1.008000000000000000e+03 , 1.071336466008046629e-07
1.009000000000000000e+03 , 1.069213957433642128e-07
1.010000000000000000e+03 , 1.067097750218605820e-07
1.011000000000000000e+03 , 1.064987819444077417e-07
1.012000000000000000e+03 , 1.062884140314252382e-07
1.013000000000000000e+03 , 1.060786688155654548e-07
1.014000000000000000e+03 , 1.058695438416410707e-07
1.015000000000000000e+03 , 1.056610366665534076e-07
1.016000000000000000e+03 , 1.054531448592209483e-07
1.017000000000000000e+03 , 1.052458660005085558e-07
1.018000000000000000e+03 , 1.050391976831569983e-07
1.019000000000000000e+03 , 1.048331375117131610e-07
1.020000000000000000e+03 , 1.046276831024605634e-07
1.021000000000000000e+03 , 1.044228320833504979e-07
1.022000000000000000e+03 , 1.042185820939334466e-07
1.023000000000000000e+03 , 1.040149307852911601e-07
1.024000000000000000e+03 , 1.038118758199691725e-07
1.025000000000000000e+03 , 1.036094148719095682e-07
1.026000000000000000e+03 , 1.034075456263845562e-07
1.027000000000000000e+03 , 1.032062657799301894e-07
1.028000000000000000e+03 , 1.030055730402806805e-07
1.029000000000000000e+03 , 1.028054651263031796e-07
1.030000000000000000e+03 , 1.026059397679328709e-07
1.031000000000000000e+03 , 1.024069947061086776e-07
1.032000000000000000e+03 , 1.022086276927092576e-07
1.033000000000000000e+03 , 1.020108364904895292e-07
1.034000000000000000e+03 , 1.018136188730175805e-07
1.035000000000000000e+03 , 1.016169726246120019e-07
1.036000000000000000e+03 , 1.014208955402796428e-07
1.037000000000000000e+03 , 1.012253854256538704e-07
1.038000000000000000e+03 , 1.010304400969330939e-07
1.039000000000000000e+03 , 1.008360573808198047e-07
1.040000000000000000e+03 , 1.006422351144600396e-07
1.041000000000000000e+03 , 1.004489711453831625e-07
1.042000000000000000e+03 , 1.002562633314421748e-07
1.043000000000000000e+03 , 1.000641095407542644e-07
1.044000000000000000e+03 , 9.987250765164191025e-08
1.045000000000000000e+03 , 9.968145555257433148e-08
1.046000000000000000e+03 , 9.949095114210924038e-08
1.047000000000000000e+03 , 9.930099232883508549e-08
1.048000000000000000e+03 , 9.911157703131373126e-08
1.049000000000000000e+03 , 9.892270317802327008e-08
1.050000000000000000e+03 , 9.873436870730157550e-08
1.051000000000000000e+03 , 9.854657156728989510e-08
1.052000000000000000e+03 , 9.835930971587703897e-08
1.053000000000000000e+03 , 9.817258112064384613e-08
1.054000000000000000e+03 , 9.798638375880803470e-08
1.055000000000000000e+03 , 9.780071561716940953e-08
1.056000000000000000e+03 , 9.761557469205547995e-08
1.057000000000000000e+03 , 9.743095898926738208e-08
1.058000000000000000e+03 , 9.724686652402613190e-08
1.059000000000000000e+03 , 9.706329532091938133e-08
1.060000000000000000e+03 , 9.688024341384833303e-08
1.061000000000000000e+03 , 9.669770884597514499e-08
1.062000000000000000e+03 , 9.651568966967061303e-08
1.063000000000000000e+03 , 9.633418394646223701e-08
1.064000000000000000e+03 , 9.615318974698257837e-08
1.065000000000000000e+03 , 9.597270515091801463e-08
1.066000000000000000e+03 , 9.579272824695781147e-08
1.067000000000000000e+03 , 9.561325713274347289e-08
1.068000000000000000e+03 , 9.543428991481854120e-08
1.069000000000000000e+03 , 9.525582470857858242e-08
1.070000000000000000e+03 , 9.507785963822166131e-08
1.071000000000000000e+03 , 9.490039283669893551e-08
1.072000000000000000e+03 , 9.472342244566577913e-08
1.073000000000000000e+03 , 9.454694661543310478e-08
1.074000000000000000e+03 , 9.437096350491902976e-08
1.075000000000000000e+03 , 9.419547128160084670e-08
1.076000000000000000e+03 , 9.402046812146735140e-08
